Nama,Tipe Indekos,Jarak ke Kampus,Luas Kamar,AC,WiFi,Kamar Mandi,Parkir,Dapur,Listrik,Kulkas,Harga
Kost Himawari Tipe B Mulyorejo Surabaya,Putri,,3 x 3 meter,Ada,Ada,Dalam,Motor & Mobil,Ada,Termasuk,Ada,1.500.000
Kost Ratu I Superior Tambaksari Surabaya,Putri,,2.5 x 3.5 meter,Ada,Ada,Dalam,,Ada,Termasuk,Ada,1.850.000
Kost Griya Risny Mulyorejo Surabaya,Putri,,2.5 x 3 meter,Ada,Ada,Dalam & Luar,Motor,Ada,Termasuk,Ada,875.000
Kost Singgahsini Habibie Ploso Tipe A Tambaksari Surabaya,Campur,,3.1 x 3.4 meter,Ada,Ada,Dalam,Motor & Mobil,Ada,Termasuk,Tidak Ada,1.550.000
Kost Griya Maharani Executive Mulyorejo Surabaya,Putri,,2.5 x 3.2 meter,Ada,Ada,Dalam,Motor,Ada,Termasuk,Ada,2.400.000
Kost Singgahsini Libra Tipe B Tambaksari Surabaya,Putri,,3 x 3 meter,Ada,Ada,Dalam & Luar,Motor,Ada,Termasuk,Ada,1.825.000
Kost Singgahsini Libra Tipe C Tambaksari Surabaya,Putri,,3 x 3 meter,Ada,Ada,Luar,Motor,Ada,Termasuk,Ada,1.375.000
Kost UNAIR Kampus C Nayma Stay Mulyorejo Surabaya,Putri,,3 x 3 meter,Ada,Ada,Dalam,Motor & Mobil,Ada,Termasuk,Ada,2.000.000
Kost Singgahsini Libra Tipe A Tambaksari Surabaya,Putri,,3 x 3 meter,Ada,Ada,Dalam & Luar,Motor,Ada,Termasuk,Ada,2.275.000
,,,,Tidak Ada,Tidak Ada,,,Tidak Ada,Tidak Termasuk,Tidak Ada,
Kost VIP 88 Mulyoerjo Surabaya,Putri,,3 x 4 meter,Ada,Ada,Dalam,Motor,Ada,Termasuk,Ada,1.500.000
Kost Merr 57 Residence Standard Lt 3 Mulyorejo Surabaya,Campur,,3 x 4 meter,Ada,Ada,Dalam & Luar,,Tidak Ada,Termasuk,Ada,1.800.000
Kost Wisper Residence 37 Tipe A Mulyorejo Surabaya,Putri,,3 x 3 meter,Ada,Ada,Dalam,,Ada,Termasuk,Ada,2.000.000
Kost Ibu Tri Wisma Permai Mulyorejo Surabaya,Putra,,3 x 3 meter,Ada,Ada,Luar,Motor & Mobil,Ada,Termasuk,Ada,1.000.000
Kost Hendra Dharmawan Mulyorejo Surabaya,Putri,,3 x 4 meter,Ada,Ada,Dalam,Motor & Mobil,Ada,Termasuk,Ada,1.850.000
Kost Pratama Jaya Darma Tipe Standard Mulyorejo Surabaya,Putri,,2 x 3.5 meter,Ada,Ada,Luar,Motor & Mobil,Ada,Termasuk,Ada,1.050.000
Kost Carrisa Mulyorejo Surabaya,Putri,,3 x 4 meter,Ada,Ada,Luar,Motor,Ada,Termasuk,Ada,750.000
Kos Edwin Tanamal Kamar Vip A Mulyorejo Surabaya,Putri,,3 x 4 meter,Ada,Ada,Dalam & Luar,Motor & Mobil,Ada,Termasuk,Ada,1.800.000
Kost Mojo Arum Tipe A Gubeng Surabaya,Campur,,5 x 5 meter,Ada,Ada,Dalam,Motor & Mobil,Ada,Termasuk,Ada,2.300.000
Kost Residence Lantai 1 Tambaksari Surabaya,Campur,,3.2 x 3.5 meter,Ada,Ada,Dalam & Luar,Motor & Mobil,Ada,Termasuk,Tidak Ada,1.900.000
